    0, 11619, 16836, 32767,    -8,  1030,    -1, 14988,     2,    -9,    -2,     0,     0,    -3,     0,     0,     0
    1, 11620, 16835, 32767,    -9,  1169,    -1, 18512,     3,   -11,    -1,     0,     0,    -2,     0,     0,     0
    2, 11620, 16835, 32767,   -11,  1290,    -1, 21739,     2,   -12,    -2,     0,     0,    -3,     0,     0,    -1
    3, 11619, 16835, 32767,   -15,  1396,    -1, 24627,     1,   -14,    -1,     0,     0,    -3,     1,     0,    -1
    4, 11618, 16838, 32764,   -17,  1485,     0, 27123,     1,   -15,    -1,     0,     0,    -3,     1,     0,     0
    5, 11619, 16832, 32767,   -19,  1554,    -1, 29189,     1,   -15,     0,     0,     0,    -2,     0,     0,    -1
    6, 11619, 16834, 32767,   -21,  1598,     0, 30799,     3,   -17,     0,     0,     0,    -3,     0,     0,     0
    7, 11618, 16837, 32767,   -23,  1622,    -1, 31911,     3,   -15,    -2,     0,     0,    -3,     1,     0,     0
    8, 11620, 16834, 32765,   -23,  1625,    -2, 32524,     2,   -17,     0,     0,     0,    -2,     0,     0,     0
    9, 11619, 16839, 32766,   -27,  1605,    -2, 32614,     1,   -17,    -1,     0,     0,    -4,     0,     0,    -1
   10, 11619, 16838, 32767,   -28,  1562,    -2, 32200,     2,   -18,     0,     0,     0,    -4,     0,     0,     1
   11, 11619, 16839, 32765,   -29,  1496,    -1, 31279,     2,   -17,     0,     0,     0,    -2,    -1,     0,    -1
   12, 11620, 16833, 32767,   -31,  1411,    -2, 29859,     3,   -15,    -1,     0,     0,    -2,     0,     0,     0
   13, 11619, 16832, 32767,   -31,  1306,    -2, 27964,     1,   -15,     0,     0,     0,    -4,     0,     0,     1
   14, 11619, 16835, 32767,   -30,  1187,    -2, 25629,     2,   -16,    -1,     0,     0,    -3,     1,     0,     0
   15, 11619, 16836, 32767,   -30,  1048,    -2, 22887,     3,   -14,    -1,     0,     0,    -4,     0,     0,     1
   16, 11619, 16833, 32767,   -29,   895,    -2, 19777,     2,   -11,    -1,     0,     0,    -4,     1,     0,    -2
   17, 11618, 16841, 32766,   -29,   734,    -1, 16357,     2,   -10,     0,     0,     0,    -3,     0,     0,    -1
   18, 11618, 16836, 32766,   -29,   565,    -2, 12680,     0,    -7,    -1,     0,     0,    -3,     1,     0,     1
   19, 11620, 16832, 32766,   -26,   389,    -2,  8796,     2,    -7,    -1,     0,     0,    -3,     0,     0,     0
   20, 11619, 16836, 32767,   -24,   208,    -1,  4776,     1,    -5,     0,     0,     0,    -3,    -1,     0,     0
   21, 11619, 16832, 32767,   -23,    26,    -2,   675,     2,    -2,     0,     0,     0,    -3,     1,     0,    -2
   22, 11619, 16834, 32767,   -22,  -151,    -1, -3437,     2,     0,     0,     0,     0,    -3,    -1,     0,     0
   23, 11618, 16832, 32767,   -18,  -323,    -3, -7497,     1,     0,    -1,     0,     0,    -3,     1,     0,    -1
   24, 11618, 16834, 32767,   -17,  -489,    -1, -11438,     2,     3,    -1,     0,     0,    -3,     1,     0,    -1
   25, 11619, 16836, 32764,   -15,  -643,    -1, -15205,     2,     5,     1,     0,     0,    -3,     1,     0,    -1
   26, 11618, 16835, 32767,   -13,  -786,    -1, -18729,     1,     5,     1,     0,     0,    -4,     0,     0,    -1
   27, 11619, 16837, 32763,    -9,  -911,    -1, -21959,     2,     7,     1,     0,     0,    -4,     0,     0,    -1
   28, 11618, 16835, 32766,    -6, -1018,     0, -24843,     3,     9,     0,     0,     0,    -3,     1,     0,    -1
   29, 11619, 16839, 32766,    -4, -1110,    -1, -27334,     2,    11,     0,     0,     0,    -4,     0,     0,    -1
   30, 11620, 16836, 32767,    -1, -1179,     0, -29394,     2,    10,     0,     0,     0,    -4,     1,     0,    -1
   31, 11618, 16839, 32765,     2, -1228,     0, -30988,     1,    11,     0,     0,     0,    -3,     1,     0,    -2
   32, 11620, 16831, 32767,     4, -1253,     0, -32109,     3,    11,     1,     0,     0,    -4,    -1,     0,    -2
   33, 11619, 16836, 32766,     6, -1258,    -1, -32721,     2,    12,    -1,     0,     0,    -5,     0,     0,    -1
   34, 11619, 16830, 32767,     8, -1241,     0, -32768,     2,    12,    -1,     0,     0,    -3,    -1,     0,     0
   35, 11618, 16836, 32766,    11, -1203,     0, -32390,     2,    12,     1,     0,     0,    -3,    -2,     0,    -1
   36, 11619, 16833, 32764,     9, -1139,     0, -31463,     2,    11,     0,     0,     0,    -4,     0,     0,    -2
   37, 11620, 16832, 32766,    11, -1055,    -1, -30043,     1,    10,    -1,     0,     0,    -3,     0,     0,    -3
   38, 11618, 16831, 32766,    13,  -955,     0, -28141,     0,    10,     0,     0,     0,    -5,     0,     0,    -2
   39, 11618, 16838, 32767,    12,  -837,     0, -25802,     2,     9,     0,     0,     0,    -4,     0,     0,     0
   40, 11619, 16829, 32765,    12,  -702,    -2, -23062,     1,     9,     0,     0,     0,    -3,     0,     0,    -2
   41, 11619, 16838, 32766,    12,  -554,     0, -19956,     1,     6,    -1,     0,     0,    -2,     0,     0,    -1
   42, 11619, 16833, 32765,    12,  -392,    -1, -16534,     2,     4,     0,     0,     0,    -4,     0,     0,    -1
   43, 11619, 16838, 32767,    10,  -226,    -1, -12855,     2,     2,     0,     0,     0,    -4,     1,     0,    -1
   44, 11620, 16831, 32766,    12,   -53,     0, -8973,     1,     2,     0,     0,     0,    -4,     0,     0,    -2
   45, 11619, 16835, 32765,     7,   126,     1, -4949,     2,     0,    -1,     0,     0,    -3,     0,     0,    -1
   46, 11620, 16837, 32767,     7,   304,    -1,  -850,     1,    -1,    -1,     0,     0,    -3,    -1,     0,    -1
   47, 11620, 16842, 32767,     6,   481,    -2,  3256,     2,    -2,     0,     0,     0,    -2,     2,     0,     1
   48, 11619, 16832, 32766,     2,   650,    -1,  7313,     2,    -6,    -2,     0,     0,    -3,     1,     0,    -2
   49, 11618, 16837, 32765,     0,   811,     0, 11252,     2,    -7,    -2,     0,     0,    -3,     1,     0,    -1
   50, 11618, 16832, 32766,    -1,   963,     0, 15012,     1,    -9,     0,     0,     0,    -3,     1,     0,     0
