0, 32792, 32828, 32824, 38304
1, 32784, 32828, 32836, 38548
2, 32788, 32820, 32820, 38752
3, 32788, 32812, 32820, 38968
4, 32796, 32824, 32828, 39152
5, 32788, 32808, 32828, 39304
6, 32788, 32820, 32828, 39404
7, 32784, 32820, 32824, 39516
8, 32796, 32820, 32820, 39588
9, 32784, 32824, 32836, 39644
10, 32784, 32828, 32824, 39656
11, 32788, 32820, 32816, 39660
12, 32784, 32828, 32832, 39640
13, 32788, 32820, 32840, 39568
14, 32800, 32828, 32816, 39480
15, 32788, 32816, 32824, 39368
16, 32804, 32824, 32820, 39236
17, 32788, 32824, 32824, 39064
18, 32784, 32828, 32816, 38872
19, 32796, 32824, 32832, 38668
20, 32796, 32828, 32824, 38416
21, 32784, 32832, 32828, 38176
22, 32792, 32812, 32820, 37920
23, 32792, 32824, 32820, 37608
24, 32780, 32828, 32828, 37280
25, 32796, 32820, 32836, 36932
26, 32772, 32816, 32836, 36584
27, 32784, 32808, 32828, 36244
28, 32764, 32816, 32828, 35868
29, 32760, 32808, 32828, 37292
30, 32796, 32816, 32812, 36964
31, 32788, 32828, 32832, 36588
32, 32788, 32828, 32820, 36228
33, 32776, 32820, 32824, 35864
34, 32780, 32824, 32828, 35476
35, 32792, 32800, 32820, 35064
36, 32772, 32828, 32820, 34668
37, 32780, 32812, 32812, 34264
38, 32768, 32816, 32820, 33820
39, 32776, 32824, 32820, 33400
40, 32796, 32816, 32820, 32996
41, 32780, 32820, 32824, 32560
42, 32784, 32820, 32820, 32164
43, 32780, 32816, 32820, 31712
44, 32784, 32812, 32816, 31312
45, 32796, 32820, 32824, 30904
46, 32776, 32820, 32820, 30492
47, 32776, 32820, 32824, 30088
48, 32776, 32824, 32816, 29708
49, 32784, 32812, 32824, 29368
50, 32792, 32828, 32832, 28992
51, 32776, 32820, 32820, 28656
52, 32784, 32816, 32836, 28316
53, 32772, 32816, 32816, 28012
54, 32796, 32824, 32824, 27728
55, 32784, 32816, 32832, 27476
56, 32788, 32808, 32812, 27252
